	0
934	5740
935	5757
936	5760
937	5761
938	5777
939	5783
940	5801
941	5802
942	5804
943	5805
944	5806
945	5810
946	5812
947	5820
948	5825
949	5832
950	5855
951	5859
952	5862
953	5863
954	5867
955	5868
956	5870
957	5871
958	5892
959	5895
960	5897
961	5899
962	5901
963	5902
964	5908
965	5913
966	5919
967	5922
968	5924
969	5931
970	5940
971	5941
972	5946
973	5960
974	5963
975	5967
976	5971
977	5974
978	5981
979	5984
980	5985
981	5998
982	6018
983	6022
984	6023
985	6031
986	6038
987	6041
988	6042
989	6046
990	6050
991	6054
992	6062
993	6109
994	6110
995	6113
996	6114
997	6122
998	6130
999	6135
1000	6136
1001	6140
1002	6145
1003	6146
1004	6149
1005	6167
1006	6168
1007	6196
1008	6203
1009	6209
1010	6210
1011	6216
1012	6226
1013	6228
1014	6233
1015	6245
1016	6249
1017	6258
1018	6264
1019	6282
1020	6286
1021	6298
1022	6299
1023	6303
1024	6304
1025	6333
1026	6338
1027	6340
1028	6343
1029	6344
1030	6347
1031	6367
1032	6369
1033	6370
1034	6375
1035	6377
1036	6380
1037	6381
1038	6383
1039	6385
1040	6390
1041	6393
1042	6394
1043	6395
1044	6401
1045	6417
1046	6425
1047	6426
1048	6428
1049	6429
1050	6433
1051	6439
1052	6442
1053	6447
1054	6448
1055	6460
1056	6463
1057	6465
1058	6468
1059	6469
1060	6476
1061	6477
1062	6478
1063	6481
1064	6488
1065	6494
1066	6499
1067	6502
1068	6506
1069	6509
1070	6510
1071	6512
1072	6519
1073	6523
1074	6534
1075	6536
1076	6602
1077	6609
1078	6611
1079	6620
1080	6624
1081	6629
1082	6635
1083	6636
1084	6637
1085	6640
1086	6641
1087	6642
1088	6643
1089	6652
1090	6655
1091	6656
1092	6658
1093	6662
1094	6667
1095	6672
1096	6692
1097	6693
1098	6706
1099	6721
1100	6868
1101	6869
1102	6917
1103	6920
1104	6921
1105	6924
1106	6927
1107	6928
1108	6936
1109	6937
1110	6938
1111	6951
1112	6970
1113	6971
1114	6975
1115	6984
1116	6985
1117	6998
1118	6999
1119	7002
1120	7003
1121	7004
1122	7016
1123	7026
1124	7030
1125	7031
1126	7040
1127	7091
1128	7096
1129	7098
1130	7099
1131	7100
1132	7152
1133	7154
1134	7158
1135	7159
1136	7193
1137	7213
1138	7217
1139	7219
1140	7224
1141	7227
1142	7235
1143	7249
1144	7250
1145	7255
1146	7256
1147	7258
1148	7263
1149	7265
1150	7281
1151	7283
1152	7305
1153	7310
1154	7333
1155	7342
1156	7350
1157	7352
1158	7353
1159	7358
1160	7360
1161	7372
1162	7387
1163	7391
1164	7395
1165	7396
1166	7418
1167	7429
1168	7430
1169	7435
1170	7442
1171	7443
1172	7447
1173	7454
1174	7457
1175	7488
1176	7491
1177	7513
1178	7514
1179	7515
1180	7545
1181	7546
1182	7553
1183	7581
1184	7640
1185	7642
1186	7644
1187	7646
1188	7649
1189	7653
1190	7655
1191	7667
1192	7729
1193	7764
1194	7765
1195	7771
1196	7783
1197	7799
1198	7804
1199	7806
1200	7816
1201	7817
1202	7856
1203	7876
1204	7891
1205	7892
1206	7900
1207	7915
1208	7919
1209	7952
1210	7983
1211	7988
1212	7992
1213	7993
1214	8003
1215	8005
1216	8008
1217	8009
1218	8013
1219	8014
1220	8015
1221	8026
1222	8027
1223	8030
1224	8032
1225	8033
1226	8034
1227	8036
1228	8039
1229	8040
1230	8042
1231	8043
1232	8045
1233	8046
1234	8063
1235	8067
1236	8076
1237	8081
1238	8090
1239	8096
1240	8098
1241	8106
1242	8110
1243	8117
1244	8136
1245	8138
1246	8159
1247	8161
1248	8172
1249	8187
1250	8188
1251	8189
1252	8192
1253	8193
1254	8194
1255	8215
1256	8222
1257	8228
1258	8236
1259	8242
1260	8247
1261	8253
1262	8273
1263	8285
1264	8290
1265	8302
1266	8304
1267	8306
1268	8311
